"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 20","63,000","63,800","64,700","63,000","30.04M","-0.16%"
"2024- 09- 19","63,100","64,000","64,400","62,200","48.73M","-2.02%"
"2024- 09- 13","64,400","65,000","65,500","64,300","24.84M","-2.87%"
"2024- 09- 12","66,300","66,000","66,600","65,200","35.41M","2.16%"
"2024- 09- 11","64,900","65,100","65,500","64,200","35.57M","-1.96%"
"2024- 09- 10","66,200","67,000","67,300","66,000","30.47M","-1.93%"
"2024- 09- 09","67,500","66,900","68,200","66,600","22.56M","-2.03%"
"2024- 09- 06","68,900","69,100","69,700","68,000","18.71M","-0.14%"
"2024- 09- 05","69,000","70,100","71,200","69,000","25.41M","-1.43%"
"2024- 09- 04","70,000","69,800","71,100","69,800","27.03M","-3.45%"
"2024- 09- 03","72,500","74,100","74,300","72,500","16.12M","-2.55%"
"2024- 09- 02","74,400","74,500","74,700","73,500","12.46M","0.13%"
"2024- 08- 30","74,300","74,400","75,000","74,100","13.57M","0.41%"
"2024- 08- 29","74,000","73,600","74,700","73,500","16.77M","-3.14%"
"2024- 08- 28","76,400","75,800","76,400","75,400","9.67M","0.79%"
"2024- 08- 27","75,800","75,700","76,500","75,600","10.98M","-0.39%"
"2024- 08- 26","76,100","78,100","78,200","76,000","15.56M","-2.06%"
"2024- 08- 23","77,700","77,700","78,400","77,500","9.35M","-0.77%"
"2024- 08- 22","78,300","78,700","78,900","77,800","8.10M","0.00%"
"2024- 08- 21","78,300","77,900","78,600","77,800","7.73M","-0.76%"
"2024- 08- 20","78,900","79,500","79,800","78,700","10.16M","0.77%"
"2024- 08- 19","78,300","80,100","80,100","78,000","14.08M","-2.37%"
"2024- 08- 16","80,200","79,400","80,200","78,700","20.80M","3.89%"
"2024- 08- 14","77,200","77,400","77,800","77,000","13.11M","1.45%"
"2024- 08- 13","76,100","76,500","76,600","75,500","10.60M","0.79%"
"2024- 08- 12","75,500","75,200","75,900","74,800","9.53M","1.07%"
"2024- 08- 09","74,700","75,700","75,800","74,200","16.08M","1.77%"
"2024- 08- 08","73,400","73,200","73,900","72,500","28.02M","-1.74%"
"2024- 08- 07","74,700","73,000","76,000","72,800","32.22M","3.03%"
"2024- 08- 06","72,500","74,900","75,300","72,300","46.90M","1.54%"
"2024- 08- 05","71,400","76,700","76,900","70,200","53.91M","-10.30%"
"2024- 08- 02","79,600","81,000","81,400","79,500","25.42M","-4.21%"
"2024- 08- 01","83,100","86,000","86,100","83,100","20.64M","-0.95%"
"2024- 07- 31","83,900","81,200","83,900","80,900","19.69M","3.58%"
"2024- 07- 30","81,000","80,400","81,000","80,000","13.01M","-0.25%"
"2024- 07- 29","81,200","81,600","82,000","81,100","12.42M","0.37%"
"2024- 07- 26","80,900","80,700","81,300","80,400","14.28M","0.62%"
"2024- 07- 25","80,400","80,400","81,000","80,100","20.16M","-1.95%"
"2024- 07- 24","82,000","82,900","83,300","81,900","16.79M","-2.26%"
"2024- 07- 23","83,900","84,200","84,700","83,400","15.46M","1.08%"
"2024- 07- 22","83,000","84,400","84,900","82,600","18.63M","-1.66%"
"2024- 07- 19","84,400","85,600","86,100","84,100","18.07M","-2.88%"
"2024- 07- 18","86,900","83,800","86,900","83,800","24.21M","0.23%"
"2024- 07- 17","86,700","87,100","88,000","86,400","17.75M","-1.14%"
"2024- 07- 16","87,700","86,900","88,000","86,700","16.04M","1.15%"
"2024- 07- 15","86,700","84,700","87,300","84,100","24.93M","2.73%"
"2024- 07- 12","84,400","85,900","86,100","84,100","25.70M","-3.65%"
"2024- 07- 11","87,600","88,500","88,800","86,700","23.93M","-0.23%"
"2024- 07- 10","87,800","87,600","88,000","87,100","17.02M","0.00%"
"2024- 07- 09","87,800","87,800","88,200","86,900","18.89M","0.46%"
